Key,valore
Block_AlreadyBlocked,questa persona è stata bloccata
Block_Self,non è possibile bloccare te stesso 
Buy,acquistare
ChangePassword_CurrentPassword,password
ChangePassword_Failed,la password non è stata cambiata
ChangePassword_NewPassword,nuova password
ChangePassword_NewPasswordConfirm,conferma la nuova password
ChangePassword_Submit,cambia
ChangePassword_Succeeded,la password è stata cambiata
Comment,invia
CommentModel_Long,il comento non può essere più lungo di…….. caratteri 
CommentModel_Required,commento è obbligatorio
Comments_NoPermission,non sei autorizzato a cancellare questo commento
Comments_NotExists,questo commento non esiste 
Common_AlreadyBanned,questo account è stato chiuso
Common_AndOther,ed altri 
Common_Back,torna indietro
Common_HasBeenBlocked,sei stato bloccato da questa persona 
Common_HasBlocked,hai bloccato questa persona
Common_InvalidEmailAddress,indirizzo e-mail non valido
Common_NoConnection,controllare la tua connessione a internet
Common_NoPermission,non sei autorizzato
Common_NoRecord,non c’è alcuna registrazione
Common_SendCredit,inviare
Common_UnknownError,si è verificato un errore
Common_Unsuccessful,l'operazione non è stata eseguita
Common_World,mondo
Common_SendButton,Inviare
Credit_Confirm,sei sicuro ?
Credit_NotEnough,acquistare il mondo
Credit_Self,non è possibile inviare il mondo a te stesso
Description_Mentions_Commented_Image,ha commentato la tua foto
Description_Mentions_Commented_Text,ha commentato la tua scrittura
Description_Mentions_Favourited_Image,ha aggiunto la tua foto alle preferite
Description_Mentions_Favourited_Text,ha aggiunto la tua scrittura alle preferite 
Description_Mentions_Liked_Image,ha piaciuto la tua foto
Description_Mentions_Liked_Text,ha piaciuto la tua scrittura
Description_Mentions_Mentioned,ha parlato di te
Description_Mentions_Shared_Image,ha condiviso la tua foto con il mondo
Description_Mentions_Shared_Text,ha condiviso la tua scrittura con il mondo
Description_Mentions_Video_Image,ha aggiunto un video alla tua foto 
Description_Mentions_Video_Text,ha aggiunto un video alla tua scrittura 
Description_Telescope_Favourited,ha aggiunto ai preferiti
Description_Telescope_Followed,ha seguito
Description_Telescope_Liked,ha piaciuto
Description_Telescope_Shared,condivido con il mondo
Email_Mentioned,% username %  ha parlato di te
Email_Comment_Image,% username % ha commentato la tua foto 
Email_Comment_Text,% username % ha commentato la tua scrittura
Email_Favorited_Text,% username % ha aggiunto la tua scrittura alle preferite 
Email_Favorited_Image,% username % ha aggiunto la tua foto alle preferite
Email_Follow,% username % ha iniziato a seguirti 
Email_Like_Image,% username % ha piaciuto la tua foto
Email_Like_Text,% username % ha piaciuto la tua scrittura 
Email_PasswordReset,la tua password worldself è stata rinnovata 
Email_ResetPasswordConfirmation,"se vuoi rinnovare la tua password worldself, clicca sul link qui sotto."
Email_VerifiedAccountApplicationApproved,ıl tuo conto worldself è stato approvato . 
Email_VerifiedAccountApplicationReceived,abbiamo ricevuto la tua applicazione del conto approvato worldself. per approvare la tua applicazione devi inviare un tweet che scrive %verifiedaccountcode% dal vostro conto tweet %username%
Email_Video_Text,%username% ha aggiunto un video alla tua scrittura
Email_Video_Image,%username% ha aggiunto un video alla tua foto
Email_Welcome,benvenuto a worldself . se non avete potuto completare il processo d’iscrizione si prega di avvisarci all’indirizzo support@worldself.com
Favourites_AlreadyAdded,questa pubblicazione è già stata aggiunta alle tue preferite
Favourites_NotAdded,questa pubblicazione non è tra le tue preferite
Feeders_Send,inviare
Follow_AlreadyFollowed,questa persona è già stata seguita
Follow_NotFollowed,questa persona non è stata seguita
Follow_SelfFollowWarning,non si può seguire se stesso
Likes_AlreadyLiked,questa pubblicazione è stata piaciuta in precedenza
Likes_NotLiked,questa pubblicazione non è stata piaciuta in precedenza
Logoff_Failed,l'operazione non è stata eseguita
Logon_Failed,l'operazione non è stata eseguita
Logon_ForgetPassword,ho dimenticato la password
Logon_Password,password
Logon_Register,iscriviti
Logon_Remember,ricordati di me
Logon_SignIn,ingresso
Logon_SignUp,iscriviti
Logon_VerifiedAccount,conto
Logon_UsernameOrEmail,nome utente o e-mail
LogonFailed,nome utente o password non corretta
LogonModel_PasswordRequired,la password non può essere vuota
LogonModel_UsernameRequired,il nome non può essere vuoto
